NCES_ID,metro,metroname,name,SD6870,city,zip,county,stateab,G1_READ_D,NREAD1_D,G2_READ_D,NREAD2_D,G4_READ_D,NREAD4_D,G8_READ_D,NREAD8_D,G9_READ_D,NREAD9_D,G10_READ_D,NREAD10_D,G12_READ_D,NREAD12_D,GHS_READ_D,NHSREAD_D,G1_MATH_D,NMATH1_D,G2_MATH_D,NMATH2_D,G4_MATH_D,NMATH4_D,G8_MATH_D,NMATH8_D,G9_MATH_D,NMATH9_D,G10_MATH_D,NMATH10_D,G12_MATH_D,NMATH12_D,GHS_MATH_D,NMATHHS_D,G3_READ_D,NREAD3_D,G3_MATH_D,NMATH3_D,G5_READ_D,NREAD5_D,G5_MATH_D,NMATH5_D,G6_READ_D,NREAD6_D,G6_MATH_D,NMATH6_D,G7_READ_D,NREAD7_D,G7_MATH_D,NMATH7_D,G11_READ_D,NREAD11_D,G11_MATH_D,NMATH11_D
100450, , , , , , , , , , , , ,101,72,128,54, , , , ,83,43, , , , , , ,101,67, , , , , , ,83,66, , , , , , , , , , ,103,79,103,64, , , , ,94,41,94,54
100480, , , , , , , , , , , , ,157,49.11,145,15, , , , ,114,8, , , , , , ,157,40.87, , , , , , ,114,8, , , , , , , , , , ,159,21.72,159,10.1, , , , ,101,2,101,18
100510, , , , , , , , , , , , ,263,14.86,291,20.86, , , , ,251,40.85, , , , , , ,263,23.24, , , , , , ,251,43.93, , , , , , , , , , ,280,29.23,280,25.6, , , , ,241,28.59,241,31.94
100540,450,"Anniston, AL",CALHOUN COUNTY,CALHOUN COUNTY,DE ARMANVILLE,AL36202,CALHOUN,AL, , , , ,694,67.2,765,56.02, , , , ,540,71.67, , , , , , ,694,71.23, , , , , , ,540,63.03, , , , , , , , , , ,747,72.57,747,72.68, , , , ,605,60.15,605,58.37
100570, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100600, , , , , , , , , , , , ,362,43.1,327,24.23, , , , ,210,24, , , , , , ,362,28.18, , , , , , ,210,48, , , , , , , , , , ,379,39.97,379,18.8, , , , ,239,14.53,239,18.23
100630, , , , , , , , , , , , ,307,45.61,336,53.88, , , , ,256,38.14, , , , , , ,307,41.64, , , , , , ,256,24.34, , , , , , , , , , ,356,56.81,356,61.84, , , , ,258,31.56,258,41.45
100660, , , , , , , , , , , , ,553,58.97,580,37.16, , , , ,421,25.38, , , , , , ,553,48.72, , , , , , ,421,26.89, , , , , , , , , , ,566,31.58,566,45.44, , , , ,430,19.76,430,41.53
100690, , , , , , , , , , , , ,169,50.4,157,48.06, , , , ,129,55.76, , , , , , ,169,55.59, , , , , , ,129,62.76, , , , , , , , , , ,158,48.8,158,22.61, , , , ,149,54.3,149,57.15
100720, , , , , , , , , , , , ,277,30.82,285,40.6, , , , ,200,57.06, , , , , , ,277,22.44, , , , , , ,200,35.49, , , , , , , , , , ,289,13.45,289,31.78, , , , ,205,44.32,205,55.84
